"query_id","accession","title","organism","description","url","search_date","source_db"
"ENA_Q1","PRJEB108563","Autism Spectrum Disorder -UCLA","","Research examining gut-microbiome-brain-behavior interactions in ASD children through microbiome characterization, brain connectivity analysis, and fMRI studies to understand how dysbiosis relates to core features and symptom heterogeneity.","https://www.ebi.ac.uk/ena/browser/view/PRJEB108563","2026-04-02","ena"
"ENA_Q1","PRJEB42687","ASD Colorado Longitudinal","","Longitudinal evaluation of gut microbiome relationship to autism behavioral severity, diet and gastrointestinal symptoms in individuals with ASD and neurotypical controls across Arizona and Colorado.","https://www.ebi.ac.uk/ena/browser/view/PRJEB42687","2026-04-02","ena"
"ENA_Q1","PRJEB62437","Autism cohort","","Multi-omic study using Bayesian differential ranking algorithm on 10 microbiome and 15 omic datasets to identify autism-specific profiles along gut-brain axis and their functional architecture.","https://www.ebi.ac.uk/ena/browser/view/PRJEB62437","2026-04-02","ena"
"ENA_Q1","PRJEB31117","Human Gut Microbiota from Autism Spectrum Disorder Promote Behavioral Symptoms in Mice","","Study demonstrates microbiota depletion impairs social behavior in mice via HPA axis activation. Specific bacterial metabolites suppress HPA axis activation and improve social impairment.","https://www.ebi.ac.uk/ena/browser/view/PRJEB31117","2026-04-02","ena"
"ENA_Q1","PRJEB14629","Clinically-relevant gut microbial dysbiosis and hyperserotonemia in two mouse models of autism","","Maternal poly I:C and VPA injection results in distinct microbial dysbiosis in offspring that recapitulates patterns in clinical ASD cases, with elevated serum serotonin levels.","https://www.ebi.ac.uk/ena/browser/view/PRJEB14629","2026-04-02","ena"
"ENA_Q1","PRJEB60702","L. reuteri RCT for children with ASD","","Double-blind, randomized, placebo-controlled trial testing L. reuteri effects in children aged 2-8 with ASD. Results showed positive signal for improvements in social functioning without overall improvement in autism severity.","https://www.ebi.ac.uk/ena/browser/view/PRJEB60702","2026-04-02","ena"
"ENA_Q1","PRJEB78344","Efficacy and safety of BF839 for pediatric ASD","","Randomized, double-blind, placebo-controlled study of Bacteroides fragilis BF839 in 60 children with ASD. BF839 group showed significant improvement in body/object use scores and gastrointestinal symptoms.","https://www.ebi.ac.uk/ena/browser/view/PRJEB78344","2026-04-02","ena"
"ENA_Q1","PRJEB34807","Gut microbiota dysbiosis in Neurodevelopmental disorders","","Study evaluating gut microbiota diversity and composition in 36 children with neurodevelopmental disorders and 28 healthy controls, revealing increased harmful bacteria and lower diversity in patients.","https://www.ebi.ac.uk/ena/browser/view/PRJEB34807","2026-04-02","ena"
"ENA_Q1","PRJEB29421","Gut Microbiota Features in Young Children with Autism Spectrum Disorders","","Dysbiosis and SCFA alterations in 2-4 year old ASD cohort studying microbiota composition.","https://www.ebi.ac.uk/ena/browser/view/PRJEB29421","2026-04-02","ena"
"ENA_Q1","PRJEB23052","gut metagenome of ASD","","Shotgun metagenome sequencing comparing 43 ASD patients with 31 typically-developing children examining microbiota composition linked to neuropsychiatric symptoms.","https://www.ebi.ac.uk/ena/browser/view/PRJEB23052","2026-04-02","ena"
"ENA_Q1","PRJEB27306","Analysis of the intestinal and oropharyngeal microbiome, nutritional and immunological profile of children with Autism Spectrum Disorder (ASD) compared with children without","","Comprehensive analysis examining both intestinal and oropharyngeal microbiota alongside nutritional and immunological profiles in ASD versus control children.","https://www.ebi.ac.uk/ena/browser/view/PRJEB27306","2026-04-02","ena"
"ENA_Q1","PRJEB15418","Characterization of the gut microbiota associated with ASDs through high-throughput sequencing of the V3V5 region of 16S bacterial rRNA and of the ITS1 region of the fungal rRNA","","Characterized altered bacterial and fungal microbial communities in autism, identifying dysbiotic taxa associated with constipation and pro-inflammatory genera.","https://www.ebi.ac.uk/ena/browser/view/PRJEB15418","2026-04-02","ena"
"ENA_Q1","PRJEB15420","ASD gut mycobiota","","Neurotypical controls for ASD gut mycobiota characterization.","https://www.ebi.ac.uk/ena/browser/view/PRJEB15420","2026-04-02","ena"
"ENA_Q1","PRJEB45948","the fecal microflora of Korean children with ASD","","Investigates microbiota profiles in Korean ASD population.","https://www.ebi.ac.uk/ena/browser/view/PRJEB45948","2026-04-02","ena"
"ENA_Q1","PRJEB57564","Environmental and genetic factors in autism spectrum disorders","","Investigates microbiota dysbiosis, immune response, and metabolic markers in ASD children via 16S rRNA and shotgun metagenomic sequencing.","https://www.ebi.ac.uk/ena/browser/view/PRJEB57564","2026-04-02","ena"
"ENA_Q1","PRJEB58864","The microbiome of patients with social anxiety disorder is altered in comparison to healthy controls","","Whole-genome shotgun analysis of 49 faecal samples comparing gut microbiome composition in social anxiety disorder patients versus controls, with links to autism and other psychiatric conditions.","https://www.ebi.ac.uk/ena/browser/view/PRJEB58864","2026-04-02","ena"
"ENA_Q1","PRJEB59338","Tool for screening the risk of dysbiosis and characterizing the healthy and diseased intestinal microbiota","","Study develops tools to estimate risk of intestinal dysbiosis and its association with health conditions including autism, using questionnaire and 16SrRNA sequencing.","https://www.ebi.ac.uk/ena/browser/view/PRJEB59338","2026-04-02","ena"
"ENA_Q1","PRJEB44042","Kefir ameliorates specific microbiota-gut-brain axis impairments in a mouse model relevant to autism spectrum disorder","","Kefir supplementation study in BTBR mice showing behavioral improvements through microbiome modulation.","https://www.ebi.ac.uk/ena/browser/view/PRJEB44042","2026-04-02","ena"
"ENA_Q1","PRJEB55708","EMG produced TPA metagenomics assembly of PRJEB44042 data set","","Third Party Annotation assembly derived from primary whole genome shotgun data of kefir-ASD mouse study, assembled with metaSPAdes.","https://www.ebi.ac.uk/ena/browser/view/PRJEB55708","2026-04-02","ena"
"ENA_Q1","PRJEB79246","High-throughput workflow for cultivation and functional characterization of novel gut microbiota strains with metabolic signatures associated with gut-brain communication","","High-throughput culturing workflow isolating 141 bacterial strains, with 41 characterized for safety and probiotic potential related to neuropsychiatric disease mechanisms.","https://www.ebi.ac.uk/ena/browser/view/PRJEB79246","2026-04-02","ena"
"ENA_Q1","PRJEB11419","American Gut Project","","Largest crowdsourced citizen science microbiome cohort examining diet, disease, and lifestyle including autism.","https://www.ebi.ac.uk/ena/browser/view/PRJEB11419","2026-04-02","ena"
"ENA_Q1","PRJEB28847","The ketogenic diet influences taxonomic and functional composition of the gut microbiota in children with severe epilepsy","","Examines microbiota changes during ketogenic diet treatment in epilepsy with relevance to autism comorbidity.","https://www.ebi.ac.uk/ena/browser/view/PRJEB28847","2026-04-02","ena"
"ENA_Q1","PRJEB24653","Maternal exposure of glyphosate-based herbicide affects the gut microbiome of Sprague-Dawley rats","","Study examines whether low-dose glyphosate-based herbicide exposure to rats from prenatal life through adulthood modifies gut microbiome composition in relation to autism and obesity.","https://www.ebi.ac.uk/ena/browser/view/PRJEB24653","2026-04-02","ena"
"ENA_Q1","PRJEB26424","Chemotherapeutic remodeling of the gut microbiome","","Study demonstrates that dysfunctional gut microbiota from high fat diet can be remodeled using synthetic peptides, with benefits including restored SCFA levels and improved intestinal health.","https://www.ebi.ac.uk/ena/browser/view/PRJEB26424","2026-04-02","ena"
"ENA_Q1","PRJEB39681","Gut microbiome of virally-infected C57BL/6 mice","","Study investigates impact of chronic viral infection on intestinal microbiota in mouse model, addressing associations between GI tract microbial species and health conditions including autism.","https://www.ebi.ac.uk/ena/browser/view/PRJEB39681","2026-04-02","ena"
"ENA_Q1","PRJEB81553","Project 3 5XFAD Aim 1-Alzheimers Gut Microbiome Project","","Study tests hypothesis that microbial signals from gut promote neuroimmune activation and pathology in Alzheimer's disease mouse models, with relevance to autism and other neurological conditions.","https://www.ebi.ac.uk/ena/browser/view/PRJEB81553","2026-04-02","ena"
